nquest;versao;pf1;idade1;idade;sexo;p1;p2;p2a;p2b;p2c;p3a;p3b;p3c;p3d;p3e;p3f;p3g;p3h;p3i;p3j;p3k;p4a;p4b;p4c;p4d;p4e;p4f;p4g;p4h;p4i;p4j;p4k;p6a;p6b;p6c;p6d;p6e;p6f;p6g;p6h;p6i;p6j;p7a;p7b;p7c;p7d;p7e;p7f;p7g;p7h;p8a;p8b;p8c;p9;p10;p11;p12;partido;religiao;pea;escola;rendaf;regiao;bairro
37454289;9;1;72;5;2;99;2;994;2;10;4;2;2;4;4;3;3;1;3;1;4;18;0;0;0;0;0;0;0;0;0;0;6;2;8;10;6;6;10;8;8;8;1;1;1;1;1;1;1;1;2;1;5;2;2;1;1;96;6;12;2;2;4;78
37454327;9;1;36;3;1;99;2;45;1;0;2;1;1;2;2;1;1;1;3;1;3;10;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;6;3;6;96;3;1;1;3;2;1;2;2;2;1;2;5;2;2;2;1;4;1;7;5;2;4;60
37454425;9;1;59;4;2;3;3;13;1;0;3;3;1;4;4;4;3;1;2;1;3;1;4;5;11;0;0;0;0;0;0;0;96;3;8;10;3;10;3;8;10;3;1;1;1;1;1;1;1;1;6;1;7;2;2;1;1;2;1;1;5;2;4;46
37454608;9;1;38;3;1;3;3;994;1;0;4;1;1;4;3;3;4;1;3;1;4;8;0;0;0;0;0;0;0;0;0;0;2;3;2;2;3;10;3;6;10;3;1;1;1;1;1;1;2;2;5;1;2;3;1;1;1;2;1;10;4;1;3;56
37454621;9;1;35;3;2;99;6;45;99;0;4;2;2;4;4;2;4;2;4;2;4;1;4;7;8;9;11;0;0;0;0;0;6;2;2;2;6;6;10;6;10;8;1;1;1;2;1;1;1;1;1;2;7;99;99;2;1;96;6;7;3;1;3;85
37454633;9;1;63;5;2;6;6;45;1;0;4;1;1;4;4;2;3;1;3;1;4;2;3;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;1;1;1;1;1;2;1;7;1;1;2;1;4;5;4;8;4;5;48
37454719;9;1;20;1;1;99;10;994;2;8;3;3;3;4;4;4;4;3;4;3;4;5;0;0;0;0;0;0;0;0;0;0;2;2;8;10;3;10;10;8;10;8;1;1;3;1;1;1;1;1;4;8;5;2;2;99;1;96;1;10;5;3;3;69
37454723;9;1;60;5;1;2;2;10;1;0;4;1;1;4;3;3;4;1;4;1;4;1;3;4;5;6;7;8;9;11;0;0;2;2;2;2;6;10;10;8;10;8;1;1;2;1;1;1;1;1;1;2;5;1;1;1;1;4;6;1;1;1;3;17
37454922;9;1;40;3;2;3;3;13;1;0;2;1;1;4;4;2;2;1;2;1;1;1;2;4;5;6;7;9;10;11;0;0;96;3;8;96;3;96;3;8;8;3;1;1;3;3;2;1;3;1;2;5;8;2;2;1;1;96;6;10;8;3;3;72
37454926;9;1;42;3;2;99;8;990;2;96;4;2;1;4;4;4;2;1;4;2;4;2;7;0;0;0;0;0;0;0;0;0;96;3;8;10;3;10;3;8;8;8;1;1;2;2;1;1;1;1;1;2;5;2;99;1;1;96;9;1;8;4;2;71
37454964;9;1;25;2;2;99;3;994;2;2;4;3;3;4;4;3;4;4;4;3;4;10;0;0;0;0;0;0;0;0;0;0;2;3;2;2;3;6;3;6;8;3;1;1;1;1;1;1;1;1;5;1;2;2;2;96;1;96;1;1;5;1;3;42
37454974;9;1;64;5;2;99;8;994;2;96;4;2;2;4;3;3;3;2;4;2;4;99;0;0;0;0;0;0;0;0;0;0;6;96;8;96;96;6;96;8;8;8;1;1;3;2;1;1;2;2;6;1;4;2;2;1;1;96;6;11;3;3;4;47
37454976;9;1;20;1;2;2;2;10;2;6;4;1;1;4;4;2;3;2;4;3;4;8;9;0;0;0;0;0;0;0;0;0;2;2;2;2;99;6;3;6;96;3;1;1;2;1;1;1;1;2;7;1;2;2;1;99;1;96;6;1;3;2;4;18
37454977;9;1;65;5;1;99;6;994;2;10;4;2;2;4;4;2;2;2;2;2;3;1;2;3;4;5;7;8;10;11;0;0;6;96;96;10;6;6;10;6;10;96;1;1;3;3;1;3;1;1;1;7;5;3;3;2;1;15;6;12;5;4;3;53
37454985;9;1;49;4;2;98;9;77;1;0;4;1;1;4;4;2;2;1;2;1;4;1;2;4;5;7;8;11;0;0;0;0;2;3;8;10;3;10;3;6;10;3;1;1;1;1;1;1;1;2;1;5;7;2;2;1;1;96;2;1;5;4;2;38
37454988;9;1;40;3;2;99;3;994;1;0;4;1;1;4;4;4;4;2;4;1;4;1;2;4;5;6;7;8;9;10;11;0;2;3;2;99;3;10;10;96;10;3;1;1;99;1;1;1;1;1;5;2;4;1;2;99;1;96;1;7;1;1;1;7
37454998;9;1;62;5;2;99;99;990;0;0;4;1;1;4;4;1;1;1;1;1;1;99;0;0;0;0;0;0;0;0;0;0;99;99;99;10;99;99;10;99;10;99;1;1;1;1;1;1;1;1;1;2;6;99;3;1;1;96;1;2;1;99;2;38
37455002;9;1;57;4;1;6;6;45;1;0;4;2;1;4;4;1;2;1;4;1;2;3;0;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;1;1;1;1;1;1;2;7;1;2;2;1;4;6;1;2;2;3;72
37455019;9;1;58;4;2;3;3;13;1;0;4;1;1;4;4;2;1;1;3;1;4;1;2;4;9;11;0;0;0;0;0;0;6;3;8;10;3;10;3;8;10;3;2;1;3;2;2;2;2;2;2;1;5;2;1;1;1;2;5;12;7;4;3;33
37455053;9;1;26;2;2;8;8;50;1;0;4;2;1;4;4;2;3;1;3;1;4;2;6;0;0;0;0;0;0;0;0;0;96;3;8;96;3;96;3;8;8;8;1;1;3;3;1;2;2;3;1;2;5;2;2;1;1;10;5;1;7;4;5;2
37455068;9;1;31;2;2;96;96;996;1;0;4;2;1;4;3;3;2;2;4;2;4;1;3;5;6;7;10;11;0;0;0;0;96;96;8;96;96;96;96;8;8;8;1;1;3;3;1;3;3;99;1;2;96;99;1;99;2;96;2;1;5;1;3;37
37455078;9;1;80;5;2;3;3;994;1;0;4;2;1;4;4;3;1;1;4;1;4;1;2;4;5;6;7;8;11;0;0;0;2;3;8;10;3;10;3;8;8;3;1;1;3;1;1;1;3;1;1;2;5;2;2;1;1;2;6;12;3;1;3;69
37455136;9;1;25;2;2;2;2;10;1;0;4;1;1;4;4;4;4;1;4;1;4;3;8;10;0;0;0;0;0;0;0;0;2;2;2;2;6;6;3;6;10;3;1;1;2;2;1;3;2;3;1;5;2;2;3;99;1;96;1;6;3;4;2;45
37455148;9;1;32;2;2;2;2;994;1;0;4;1;2;4;4;4;4;4;4;2;4;4;7;8;0;0;0;0;0;0;0;0;2;2;2;2;96;10;96;96;10;96;1;1;3;1;1;2;1;3;1;7;2;3;1;99;1;96;6;1;5;3;3;45
37455162;9;1;23;1;1;6;6;45;2;3;4;1;1;2;4;1;2;2;2;1;4;2;0;0;0;0;0;0;0;0;0;0;6;3;8;10;6;6;3;6;8;8;1;1;2;2;1;1;1;1;1;2;8;2;2;2;1;96;6;13;6;99;3;22
